PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,is_fish,is_mammal,is_plant,is_human,PFAS_Class_encoded,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration,BCF,log_BCF,Study Year
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Japanese Quail,Other,2,0,0,0,0,0,1.0,Serum,Food,,162000.0,5.209515014542631,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Japanese Quail,Other,2,0,0,0,0,0,1.0,Liver,Food,,162000.0,5.209515014542631,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Cucumber,Other,2,0,0,0,0,0,1.0,Leafneedle,Direct application,,220.0,2.342422680822206,,,2020
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Cucumber,Other,2,0,0,0,0,0,1.0,Stem,Direct application,,220.0,2.342422680822206,,,2020
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Cucumber,Other,2,0,0,0,0,0,1.0,Root,Direct application,,220.0,2.342422680822206,,,2020
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Earthworm,Other,2,0,0,0,0,0,1.0,Whole organism,"Environmental, unspecified",,6010.0,3.7788744720027396,,,2016
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Earthworm,Other,2,0,0,0,0,0,1.0,Whole organism,"Environmental, unspecified",,10000.0,4.0,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Earthworm,Other,2,0,0,0,0,0,1.0,Whole organism,"Environmental, unspecified",,3230.0,3.509202522331103,,,2016
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Earthworm,Other,2,0,0,0,0,0,1.0,Whole organism,"Environmental, unspecified",,28360.0,4.452706226511029,,,2016
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Earthworm,Other,2,0,0,0,0,0,1.0,Whole organism,"Environmental, unspecified",,25000.0,4.3979400086720375,,,2016
